time,time,ci
2019-01-03 18:50:00,2019-01-03 18:50:00,0.006313563079158867
2019-01-03 18:55:00,2019-01-03 18:55:00,0.006132862683696833
2019-01-03 19:00:00,2019-01-03 19:00:00,0.008502854342680888
2019-01-03 19:05:00,2019-01-03 19:05:00,0.003137224029410586
2019-01-03 19:10:00,2019-01-03 19:10:00,0.007112858371686103
2019-01-03 19:15:00,2019-01-03 19:15:00,0.00511297594918821
2019-01-03 19:20:00,2019-01-03 19:20:00,0.007010956094196859
2019-01-03 19:25:00,2019-01-03 19:25:00,0.006827811223903796
2019-01-03 19:30:00,2019-01-03 19:30:00,0.008576520891613629
2019-01-03 19:35:00,2019-01-03 19:35:00,0.005008982397087182
2019-01-03 19:40:00,2019-01-03 19:40:00,0.009002848745893811
2019-01-03 19:45:00,2019-01-03 19:45:00,0.005935039270263814
2019-01-03 19:50:00,2019-01-03 19:50:00,0.004919029312245686
2019-01-03 19:55:00,2019-01-03 19:55:00,0.006324654028319107
2019-01-03 20:00:00,2019-01-03 20:00:00,0.006180483722141021
2019-01-03 20:05:00,2019-01-03 20:05:00,0.0009729260092365088
2019-01-03 20:10:00,2019-01-03 20:10:00,0.007352953534692789
2019-01-03 20:15:00,2019-01-03 20:15:00,0.00543327414691515
2019-01-03 20:20:00,2019-01-03 20:20:00,0.0035091374618583943
2019-01-03 20:25:00,2019-01-03 20:25:00,0.0025354516084919606
2019-01-03 20:30:00,2019-01-03 20:30:00,0.006419058096071412
2019-01-03 20:35:00,2019-01-03 20:35:00,0.005531721110198831
2019-01-03 20:40:00,2019-01-03 20:40:00,0.004712910393333239
2019-01-03 20:45:00,2019-01-03 20:45:00,0.003946643322037307
2019-01-03 20:50:00,2019-01-03 20:50:00,0.0032172841867892424
2019-01-03 20:55:00,2019-01-03 20:55:00,0.00022031194547092204
2019-01-03 21:00:00,2019-01-03 21:00:00,0.0038401465451034286
2019-01-03 21:05:00,2019-01-03 21:05:00,0.005796221709215458
2019-01-03 21:10:00,2019-01-03 21:10:00,0.005342367019861537
2019-01-03 21:15:00,2019-01-03 21:15:00,0.0034228905937714856
2019-01-03 21:20:00,2019-01-03 21:20:00,0.005183256838938811
2019-01-03 21:25:00,2019-01-03 21:25:00,0.006259265089398075
2019-01-03 21:30:00,2019-01-03 21:30:00,0.006130400780167912
2019-01-03 21:35:00,2019-01-03 21:35:00,0.004610853946643067
2019-01-03 21:40:00,2019-01-03 21:40:00,0.0035006774189156433
2019-01-03 21:45:00,2019-01-03 21:45:00,0.006164830478335797
2019-01-03 21:50:00,2019-01-03 21:50:00,0.0036148713905033167
2019-01-03 21:55:00,2019-01-03 21:55:00,0.004807459703667657
2019-01-03 22:00:00,2019-01-03 22:00:00,0.01238811009884746
2019-01-03 22:05:00,2019-01-03 22:05:00,0.010191812356145363
2019-01-03 22:10:00,2019-01-03 22:10:00,0.006782438849912486
2019-01-03 22:15:00,2019-01-03 22:15:00,0.011935582109397012
2019-01-03 22:20:00,2019-01-03 22:20:00,0.009220452496039436
2019-01-03 22:25:00,2019-01-03 22:25:00,0.007816763188386717
2019-01-03 22:30:00,2019-01-03 22:30:00,0.012167805894819656
2019-01-03 22:35:00,2019-01-03 22:35:00,0.006790801108571004
2019-01-03 22:40:00,2019-01-03 22:40:00,0.0040906870667902434
2019-01-03 22:45:00,2019-01-03 22:45:00,0.014747666976808854
